  MQ2,MQ7,MQ135,MQ3,Temperature,Humidity,Radius,Lenth
  1652,  1037,  1162,    838 ,31.00 ,47.00 ,31 ,12
  1622,  1016,  1140,    836 ,31.00 ,47.00 ,31 ,12
  1619,  1013,  1138,    836 ,31.00 ,47.00 ,31 ,12
  1615,  1011,  1133,    835 ,31.00 ,47.00 ,31 ,12
  1613,  1009,  1130,    835 ,31.00 ,47.00 ,31 ,12
  1612,  1006,  1128,    834 ,31.00 ,46.00 ,31 ,12
  1610,  1004,  1125,    834 ,31.00 ,46.00 ,31 ,12
  1609,  1003,  1122,    834 ,31.00 ,46.00 ,31 ,12
  1608,   997,  1115,    832 ,31.00 ,46.00 ,31 ,12
  1610,   996,  1113,    833 ,31.00 ,46.00 ,31 ,12
  1609,   997,  1112,    832 ,31.00 ,46.00 ,31 ,12
  1608,   997,  1111,    832 ,31.00 ,46.00 ,31 ,12
  1609,   997,  1111,    832 ,31.00 ,46.00 ,31 ,12
  1608,   996,  1110,    832 ,31.00 ,46.00 ,31 ,12
  1609,   996,  1109,    831 ,31.00 ,46.00 ,31 ,12
  1611,   996,  1107,    831 ,31.00 ,46.00 ,31 ,12
  1609,   995,  1105,    831 ,31.00 ,46.00 ,31 ,12
  1610,   995,  1104,    830 ,31.00 ,46.00 ,31 ,12
  1612,   995,  1103,    831 ,31.00 ,46.00 ,31 ,12
  1613,   996,  1102,    831 ,31.00 ,46.00 ,31 ,12
  1612,   995,  1101,    830 ,31.00 ,46.00 ,31 ,12
  1614,   995,  1100,    830 ,31.00 ,46.00 ,31 ,12
  1615,   995,  1100,    830 ,31.00 ,46.00 ,31 ,12
  1616,   995,  1098,    829 ,31.00 ,46.00 ,31 ,12
  1615,   995,  1099,    829 ,31.00 ,46.00 ,31 ,12
  1617,   994,  1098,    829 ,31.00 ,46.00 ,31 ,12
  1626,   997,  1096,    828 ,31.00 ,45.00 ,31 ,12
  1629,   997,  1096,    827 ,31.00 ,46.00 ,31 ,12
  1629,   996,  1096,    827 ,31.00 ,45.00 ,31 ,12
  1628,   997,  1096,    827 ,31.00 ,45.00 ,31 ,12
  1628,   998,  1095,    826 ,31.00 ,45.00 ,31 ,12
  1628,   997,  1096,    826 ,31.00 ,45.00 ,31 ,12
  1628,   997,  1095,    826 ,31.00 ,45.00 ,31 ,12
  1628,   996,  1093,    826 ,31.00 ,45.00 ,31 ,12
  1631,   997,  1094,    826 ,31.00 ,45.00 ,31 ,12
  1632,   996,  1093,    825 ,31.00 ,45.00 ,31 ,12
  1638,   996,  1092,    825 ,31.00 ,45.00 ,31 ,12
  1637,   997,  1091,    824 ,31.00 ,45.00 ,31 ,12
  1637,   995,  1090,    824 ,31.00 ,45.00 ,31 ,12
  1636,   996,  1089,    825 ,31.00 ,45.00 ,31 ,12
  1636,   996,  1090,    825 ,31.00 ,45.00 ,31 ,12
  1640,   998,  1091,    824 ,31.00 ,45.00 ,31 ,12
  1638,   998,  1091,    824 ,31.00 ,45.00 ,31 ,12
  1639,   998,  1089,    823 ,31.00 ,45.00 ,31 ,12
  1639,   998,  1090,    823 ,31.00 ,45.00 ,31 ,12
  1639,   999,  1091,    823 ,31.00 ,45.00 ,31 ,12
  1639,   999,  1090,    824 ,31.00 ,45.00 ,31 ,12
  1641,   999,  1090,    823 ,31.00 ,45.00 ,31 ,12
  1642,  1000,  1091,    823 ,31.00 ,45.00 ,31 ,12
  1642,   999,  1091,    822 ,31.00 ,45.00 ,31 ,12
  1642,   999,  1090,    823 ,31.00 ,45.00 ,31 ,12
  1642,   999,  1090,    822 ,31.00 ,45.00 ,31 ,12
  1641,   999,  1089,    822 ,31.00 ,45.00 ,31 ,12
  1643,  1000,  1089,    822 ,31.00 ,45.00 ,31 ,12
  1645,  1001,  1090,    822 ,31.00 ,45.00 ,31 ,12
  1645,  1000,  1089,    821 ,31.00 ,45.00 ,31 ,12
  1645,  1001,  1090,    821 ,31.00 ,45.00 ,31 ,12
  1646,  1001,  1089,    821 ,31.00 ,45.00 ,31 ,12
  1647,  1001,  1089,    821 ,31.00 ,45.00 ,31 ,12
  1645,  1002,  1089,    822 ,31.00 ,45.00 ,31 ,12
  1645,  1001,  1089,    821 ,31.00 ,45.00 ,31 ,12
  1645,  1001,  1090,    821 ,31.00 ,45.00 ,31 ,12
  1648,  1002,  1090,    821 ,31.00 ,45.00 ,31 ,12
  1649,  1003,  1089,    820 ,30.00 ,45.00 ,31 ,12
  1648,  1003,  1091,    821 ,30.00 ,45.00 ,31 ,12
  1650,  1003,  1091,    820 ,30.00 ,45.00 ,31 ,12
  1652,  1004,  1091,    820 ,30.00 ,45.00 ,31 ,12
  1650,  1004,  1091,    821 ,30.00 ,45.00 ,31 ,12
  1651,  1003,  1089,    820 ,30.00 ,45.00 ,31 ,12
  1651,  1004,  1089,    821 ,30.00 ,45.00 ,31 ,12
  1653,  1004,  1090,    820 ,30.00 ,45.00 ,31 ,12
  1651,  1004,  1091,    819 ,30.00 ,45.00 ,31 ,12
  1653,  1005,  1090,    819 ,30.00 ,45.00 ,31 ,12
  1653,  1005,  1090,    820 ,30.00 ,45.00 ,31 ,12
  1655,  1005,  1089,    821 ,30.00 ,45.00 ,31 ,12
  1652,  1005,  1089,    819 ,30.00 ,45.00 ,31 ,12
  1654,  1005,  1089,    819 ,30.00 ,45.00 ,31 ,12
  1654,  1005,  1089,    821 ,30.00 ,45.00 ,31 ,12
  1656,  1005,  1088,    821 ,30.00 ,45.00 ,31 ,12
  1655,  1004,  1088,    821 ,30.00 ,45.00 ,31 ,12
  1657,  1005,  1087,    820 ,30.00 ,45.00 ,31 ,12
  1656,  1004,  1087,    821 ,30.00 ,45.00 ,31 ,12
  1654,  1004,  1086,    821 ,30.00 ,46.00 ,31 ,12
  1655,  1004,  1084,    820 ,30.00 ,46.00 ,31 ,12
  1657,  1004,  1086,    820 ,30.00 ,46.00 ,31 ,12
  1658,  1005,  1085,    821 ,30.00 ,46.00 ,31 ,12
  1659,  1005,  1086,    820 ,30.00 ,46.00 ,31 ,12
  1659,  1006,  1086,    822 ,30.00 ,46.00 ,31 ,12
  1661,  1005,  1086,    821 ,30.00 ,46.00 ,31 ,12
  1663,  1006,  1085,    820 ,30.00 ,46.00 ,31 ,12
  1662,  1007,  1086,    821 ,30.00 ,46.00 ,31 ,12
  1661,  1007,  1085,    821 ,30.00 ,46.00 ,31 ,12
  1661,  1007,  1085,    821 ,30.00 ,46.00 ,31 ,12
  1664,  1009,  1086,    822 ,30.00 ,46.00 ,31 ,12
  1663,  1009,  1086,    822 ,30.00 ,46.00 ,31 ,12
  1663,  1009,  1086,    823 ,30.00 ,46.00 ,31 ,12
  1664,  1010,  1085,    823 ,30.00 ,46.00 ,31 ,12
  1665,  1010,  1086,    823 ,30.00 ,46.00 ,31 ,12
  1665,  1011,  1087,    823 ,30.00 ,46.00 ,31 ,12
  1665,  1010,  1086,    824 ,30.00 ,46.00 ,31 ,12
  1665,  1011,  1085,    823 ,30.00 ,46.00 ,31 ,12
  1666,  1011,  1085,    824 ,30.00 ,46.00 ,31 ,12
  1666,  1012,  1085,    826 ,30.00 ,46.00 ,31 ,12
  1668,  1012,  1085,    826 ,30.00 ,46.00 ,31 ,12
  1670,  1013,  1084,    827 ,30.00 ,46.00 ,31 ,12
  1671,  1014,  1085,    827 ,30.00 ,46.00 ,31 ,12
  1670,  1013,  1084,    827 ,30.00 ,46.00 ,31 ,12
  1672,  1012,  1084,    827 ,30.00 ,46.00 ,31 ,12
  1674,  1014,  1084,    828 ,30.00 ,46.00 ,31 ,12
  1675,  1013,  1084,    828 ,30.00 ,46.00 ,31 ,12
  1673,  1013,  1085,    828 ,30.00 ,46.00 ,31 ,12
  1673,  1015,  1084,    828 ,30.00 ,46.00 ,31 ,12
  1672,  1014,  1085,    829 ,30.00 ,46.00 ,31 ,12
  1671,  1016,  1085,    829 ,30.00 ,46.00 ,31 ,12
  1669,  1016,  1085,    830 ,30.00 ,46.00 ,31 ,12
  1675,  1016,  1085,    833 ,29.00 ,47.00 ,31 ,12
  1676,  1016,  1084,    833 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1083,    836 ,29.00 ,47.00 ,31 ,12
  1677,  1017,  1083,    836 ,29.00 ,47.00 ,31 ,12
  1676,  1017,  1082,    836 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1083,    837 ,29.00 ,47.00 ,31 ,12
  1678,  1016,  1082,    838 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1082,    839 ,29.00 ,47.00 ,31 ,12
  1676,  1017,  1081,    839 ,29.00 ,47.00 ,31 ,12
  1677,  1016,  1081,    840 ,29.00 ,47.00 ,31 ,12
  1683,  1018,  1081,    843 ,29.00 ,48.00 ,31 ,12
  1683,  1017,  1083,    843 ,29.00 ,48.00 ,31 ,12
  1683,  1020,  1082,    845 ,29.00 ,48.00 ,31 ,12
  1682,  1019,  1082,    847 ,29.00 ,48.00 ,31 ,12
