Date,Time,MQ2,MQ7,MQ135,Temperature,Humidity
2022-12-20,56, 13719,  8651,  5524,33.00 ,54.00
2022-12-20,04, 13725,  8651,  5522,33.00 ,54.00
2022-12-20,10, 13715,  8639,  5526,33.00 ,54.00
2022-12-20,18, 13720,  8634,  5508,33.00 ,54.00
2022-12-20,24, 13721,  8629,  5511,33.00 ,54.00
2022-12-20,29, 13723,  8631,  5506,33.00 ,54.00
2022-12-20,35, 13724,  8625,  5512,33.00 ,54.00
2022-12-20,43, 13722,  8631,  5494,33.00 ,54.00
2022-12-20,48, 13721,  8622,  5512,33.00 ,54.00
2022-12-20,54, 13676,  8594,  5487,33.00 ,54.00
2022-12-20,00, 13700,  8602,  5515,33.00 ,54.00
2022-12-20,05, 13677,  8592,  5512,33.00 ,54.00
2022-12-20,11, 13722,  8624,  5530,33.00 ,54.00
2022-12-20,11, 13492,  7840,  4933,34.00 ,52.00
2022-12-20,24, 13446,  7814,  4924,34.00 ,52.00
2022-12-20,32, 13455,  7814,  4933,34.00 ,52.00
2022-12-20,37, 13452,  7807,  4921,34.00 ,52.00
2022-12-20,45, 13451,  7820,  4915,34.00 ,52.00
2022-12-20,51, 13497,  7837,  4944,34.00 ,52.00
2022-12-20,57, 13406,  7839,  4913,34.00 ,52.00
2022-12-20,02, 13494,  7837,  4947,34.00 ,52.00
2022-12-20,08, 13497,  7843,  4935,34.00 ,52.00
2022-12-20,13, 13403,  7788,  4926,34.00 ,52.00
2022-12-20,19, 13491,  7904,  4936,34.00 ,52.00
2022-12-20,27, 13448,  7927,  4932,34.00 ,52.00
2022-12-20,33, 13487,  7955,  4930,34.00 ,52.00
2022-12-20,39, 13487,  7952,  4927,34.00 ,52.00
2022-12-20,44, 13488,  7951,  4929,34.00 ,52.00
2022-12-20,50, 13455,  7919,  4920,34.00 ,52.00
2022-12-20,55, 13483,  7942,  4913,34.00 ,52.00
2022-12-20,01, 13484,  7938,  4924,34.00 ,52.00
2022-12-20,06, 13336,  7892,  4893,34.00 ,52.00
2022-12-20,12, 13490,  7934,  4929,34.00 ,52.00
2022-12-20,18, 13433,  7885,  4893,34.00 ,52.00
